"","2019-12-29","2019-12-31","2020-01-01","2020-01-03","2020-01-05","2020-01-07","2020-01-09","2020-01-12","2020-01-15","2020-01-19","2020-01-21","2020-01-24","2020-01-26","2020-01-28"
"B-1-118",4895.54781818182,0,4895.54781818182,0,4895.54781818182,0,108.9735,721.3625,1177.595,4003.09,6316.405,11371.6,12909,17243
"B-1-119",2233.14613636364,0,2233.14613636364,0,2233.14613636364,0,0,111.894,119.1335,3156.295,3208.975,5596.74,4762.08,7609.49
"B-1-120",3712.57727272727,0,3712.57727272727,0,3712.57727272727,0,95.7805,615.646,326.0385,1575.55,3265.765,6177.37,12228.8,16553.4
"B-1-109",8637.372,0,8637.372,31.07,8637.372,759.787,1403.96,3841.27,4974.505,9255.15,12419.15,18771.3,20319.3,23235.6
"B-1-110",1197.61572727273,0,1197.61572727273,0,1197.61572727273,0,145.7415,566.9315,467.131,887.927,883.482,1301.25,3552.42,5368.89
"B-1-111",6195.94431818182,0,6195.94431818182,0,6195.94431818182,697.6925,2050.56,3347.935,4087.28,7405.945,8171.975,11082.5,14183.1,17128.4
"B-1-112",2381.85468181818,0,2381.85468181818,0,2381.85468181818,0,0,18.038,60.968,754.3505,1591.555,4883.1,7307.19,11585.2
"B-1-113",10451.6303636364,437.422,10451.6303636364,359.573,10451.6303636364,637.644,1106.285,2207.67,4921.47,8958.665,12925.805,23545.1,27225.6,32642.7
"B-1-114",9177.848,0,9177.848,0,9177.848,667.223,2006.41,5374.47,4648.875,9631.9,11374.15,18321.7,21876.9,27054.7
"B-1-115",4238.50545454545,0,4238.50545454545,0,4238.50545454545,292.205,431.98,1537.205,1701.145,3305.55,5895.395,8810.28,11267.1,13382.7
"B-1-116",8357.26818181818,0,8357.26818181818,0,8357.26818181818,1222.77,2997.92,5669.975,6259.805,8778.985,9267.895,17114,19856.3,20762.3
"B-1-117",2648.64786363636,0,2648.64786363636,0,2648.64786363636,130.431,555.285,1456.555,830.7705,1817.39,2609.435,5189,6599.89,9946.37
"B-1-10",14852.8295909091,0,14852.8295909091,0,14852.8295909091,581.8905,2080.59,4563.605,7776.19,16701.95,23571.2,25842.55,33929.05,48334.1
"B-1-11",9929.03222727273,0,9929.03222727273,0,9929.03222727273,0,0,450.2895,1209.285,3644.73,10306.1,22693.75,32067.7,38847.5
"B-1-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B-1-2",16776.3740454545,0,16776.3740454545,73.2095,16776.3740454545,1390.04,3041.95,6551.335,8698.28,16999.3,23441.5,33994.3,40028.5,50321.7
"B-1-3",13827.2101818182,0,13827.2101818182,25.462,13827.2101818182,1636.375,2997.65,6505.305,6815.87,13345.25,14745.7,31598.6,34234.85,40194.25
"B-1-4",8922.50854545455,0,8922.50854545455,0,8922.50854545455,173.231,872.388,2638.125,3324.135,9374.595,7959.52,17699.35,20875.95,35230.3
"B-1-5",15675.9580454545,0,15675.9580454545,0,15675.9580454545,538.2635,1858.43,5994.685,7183.11,13132.75,10109,29743.3,43671.6,60204.4
"B-1-6",12140.4330909091,0,12140.4330909091,0,12140.4330909091,0,333.834,1277.715,2744.945,8640.47,13991.9,26103.95,36282.15,44169.8
"B-1-7",10255.75,0,10255.75,0,10255.75,1179.35,2889.13,5088.55,4129.27,9368.8,15075,19328,23297.15,32458
"B-1-22",5405.14872727273,0,5405.14872727273,0,5405.14872727273,411.551,1230.235,2261.13,1740.615,4036.415,5302.24,11133,16000.85,17340.6
"B-1-23",2539.43995454545,0,2539.43995454545,0,2539.43995454545,0,0,256.9325,284.797,1514.605,2619.3,4978.49,6635.915,11643.8
"B-1-24",6551.84027272727,0,6551.84027272727,0,6551.84027272727,525.513,1693.805,3000.51,2906.23,6471.885,8936.8,12483.35,16742.05,19310.1
"B-1-13",12270.7381363636,0,12270.7381363636,0,12270.7381363636,547.05,1025.6145,3189.49,2835.555,7917.31,13797.2,27446.05,33062.75,45157.1
"B-1-14",10881.1661818182,0,10881.1661818182,0,10881.1661818182,372.323,1423.29,2838.925,4542.985,10369.105,10944.3,19735.35,29693.65,39772.9
"B-1-15",6169.15781818182,0,6169.15781818182,0,6169.15781818182,0,0,0,650.506,2909.16,6013.97,12435.7,17496.25,28355.15
"B-1-16",6450.822,0,6450.822,0,6450.822,925.287,2483.175,3393.305,1643.035,3386.34,4963.45,11449.45,15704.55,27010.45
"B-1-17",9067.5925,0,9067.5925,0,9067.5925,0,157.816,504.8245,934.782,4559.785,9704.01,18488.85,26480.3,38913.15
"B-1-18",23632.5136363636,0,23632.5136363636,0,23632.5136363636,1033.94,2449.555,5998.06,8794.045,16545.9,32004.6,47371.8,57768,87991.75
"B-1-19",1116.24531818182,0,1116.24531818182,0,1116.24531818182,0,0,67.8565,63.622,517.535,1081.69,2043.11,3642.17,4862.715
"B-1-20",10190.1643636364,0,10190.1643636364,139.883,10190.1643636364,2899.92,3928.135,5803.435,7456.535,11212.3,14561.9,20591.3,22328.55,23169.85
"B-1-21",5388.48513636364,0,5388.48513636364,0,5388.48513636364,0,462.9515,2354.93,1486.905,4134.205,6514.75,10517.995,14028.3,19773.3
"B-1-34",3029.44981818182,0,3029.44981818182,0,3029.44981818182,503.752,905.211,1307.65,1165.765,2527.595,2087.62,5308.115,8314.14,11204.1
