"","TS","Temp","RH","VPD","SR","WS"
"113","2019-12-29 04:00:00","16.08000","77.55000","0.41021281","  0.0000","2.262000"
"114","2019-12-29 04:15:00","15.94000","76.60000","0.42376550","  0.0000","1.428000"
"115","2019-12-29 04:30:00","15.91000","76.36000","0.42729179","  0.0000","1.300000"
"116","2019-12-29 04:45:00","15.83000","77.66000","0.40173425","  0.0000","1.065000"
"117","2019-12-29 05:00:00","15.78000","77.77000","0.39847958","  0.0000","1.006000"
"118","2019-12-29 05:15:00","15.45000","78.78000","0.37241767","  0.0000","0.862000"
"119","2019-12-29 05:30:00","15.34000","76.80000","0.40430301","  0.0000","1.106000"
"120","2019-12-29 05:45:00","15.41000","74.99000","0.43780833","  0.2240","1.354000"
"121","2019-12-29 06:00:00","15.44000","73.35000","0.46741592","  0.0000","1.620000"
"122","2019-12-29 06:15:00","15.36000","72.45000","0.48072668","  0.0000","1.488000"
"123","2019-12-29 06:30:00","15.37000","72.37000","0.48243221","  0.2240","0.983000"
"124","2019-12-29 06:45:00","15.16000","72.81000","0.46838772","  0.0000","1.692000"
"125","2019-12-29 07:00:00","14.93000","72.77000","0.46218475","  0.0000","1.352000"
"126","2019-12-29 07:15:00","15.06000","71.31000","0.49105865","  0.0000","0.957000"
"127","2019-12-29 07:30:00","15.08000","71.28000","0.49220511","  0.0000","1.494000"
"128","2019-12-29 07:45:00","14.91000","77.28000","0.38513835","  6.5990","0.564000"
"129","2019-12-29 08:00:00","14.30000","80.10000","0.32430441","  6.1510","0.822000"
"130","2019-12-29 08:15:00","14.00000","82.00000","0.28769196"," 12.9700","0.000000"
"131","2019-12-29 08:30:00","14.18000","84.60000","0.24902623"," 26.3900","0.962000"
"132","2019-12-29 08:45:00","14.52000","85.80000","0.23472968"," 40.0400","0.995000"
"133","2019-12-29 09:00:00","15.04000","84.20000","0.27008529"," 46.8600","0.000000"
"134","2019-12-29 09:15:00","15.72000","84.50000","0.27677744"," 66.2100","0.000000"
"135","2019-12-29 09:30:00","17.36000","83.10000","0.33495353"," 79.9600","2.192000"
